example,sid,tag,old_score,is_leaf,alt_bindings,alt_refactorings,alt_dataflows,pOutputNumber,pAlternative,pWave,pAllowDataFlow,pCritical,pPercentOfBindedInputs,pPossibleDeadlock,pNumberOfBindedFunctions,pRestless,label,pRefactoringType,pNotTransferableInputs,pRestrictedTime,pWaitTime
fibonacci.lua,-0-1-1-0-1-0-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,1.0159028079886685,,0.0,False,3.0
fibonacci.lua,-0-1-1-0-1-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,,,0.0,False,5.0
fibonacci.lua,-0-1-1-0-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,1.0159028079886685,,0.0,False,1.0
fibonacci.lua,-0-1-1-0-1-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,1.0159028079886685,,1.0,False,2.0
fibonacci.lua,-0-1-1-0-1-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,1.0159028079886685,,0.0,False,5.0
fibonacci.lua,-0-1-1-1,DataflowDecisionView,1994,False,1,0,0,,,,,,,,,,0.6483644291979415,,1.0,False,1.0
fibonacci.lua,-0-1-1-1-0,BindDecisionView,4552,False,0,0,0,1.0,1.0,0.0,0.0,True,1.0,False,0.0,0.0,1.0159028079886685,,,,
fibonacci.lua,-0-1-1-1-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,1.0159028079886685,BreakLoopView,,,
fibonacci.lua,-0-1-1-1-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,1.0159028079886685,,1.0,False,2.0
fibonacci.lua,-0-1-1-1-0-0-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,1.0159028079886685,,0.0,False,3.0
fibonacci.lua,-0-1-1-1-0-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,,,0.0,False,5.0
fibonacci.lua,-0-2,BreakLoopView,5000,False,2,0,0,,,,,,,,,,0.7334048684427533,BreakLoopView,,,
fibonacci.lua,-0-2-0,BindDecisionView,4552,False,1,0,0,1.0,1.0,0.0,0.0,True,1.0,False,0.0,0.0,-0.1699815931544913,,,,
