example,score,synthesis_method,runs,success_rate,timeout_rate,time_mean,time_std,time_min,time_max,synthesis_steps_mean,synthesis_steps_std,synthesis_steps_min,synthesis_steps_max,mean_depth_mean,mean_depth_std,mean_depth_min,mean_depth_max,min_duration_mean,min_duration_std,min_duration_min,min_duration_max,leafs_mean,leafs_std,leafs_min,leafs_max,leaf_success_rate_mean,leaf_success_rate_std,leaf_success_rate_min,leaf_success_rate_max,nodes_total_mean,nodes_total_std,nodes_total_min,nodes_total_max,nodes_not_processed_mean,nodes_not_processed_std,nodes_not_processed_min,nodes_not_processed_max
matrix-mult-1x2.lua,model_v2,sota,3,1,0,6.73319147331252,0.19749123904809304,6.582661649968941,6.956808562972583,166,0.0,166,166,15.0,0.0,15.0,15.0,15,0.0,15,15,13,0.0,13,13,1.0,0.0,1.0,1.0,445,0.0,445,445,278,0.0,278,278
matrix-mult-1x2.lua,model_v2,top-down-1.2,3,1,0,0.8655410000161888,0.0168240340995979,0.8492523850291036,0.8828536710352637,14,0.0,14,14,15.0,0.0,15.0,15.0,15,0.0,15,15,1,0.0,1,1,1.0,0.0,1.0,1.0,50,0.0,50,50,35,0.0,35,35
matrix-mult-1x2.lua,model_v2,top-down-1.4,3,1,0,1.3619170109935415,0.8689582149241627,0.8599397399812005,2.365303475991823,14,0.0,14,14,15.0,0.0,15.0,15.0,15,0.0,15,15,1,0.0,1,1,1.0,0.0,1.0,1.0,50,0.0,50,50,35,0.0,35,35
matrix-mult-1x3.lua,default,sota,3,1,0,0.4731569836731069,0.002813087180382697,0.4701609869953245,0.4757419329835102,360,0.0,360,360,22.444444444444443,0.0,22.444444444444443,22.444444444444443,21,0.0,21,21,19,0.0,19,19,0.9473684210526315,0.0,0.9473684210526315,0.9473684210526315,1613,0.0,1613,1613,1252,0.0,1252,1252
matrix-mult-1x3.lua,default,top-down-1.2,3,1,0,0.42043843964347616,0.007846106207438464,0.4144933639909141,0.4293315719696693,33,0.0,33,33,22.0,0.0,22.0,22.0,21,0.0,21,21,1,0.0,1,1,1.0,0.0,1.0,1.0,195,0.0,195,195,161,0.0,161,161
matrix-mult-1x3.lua,default,top-down-1.4,3,1,0,0.40023231733357534,0.009252599057760618,0.3896596450358629,0.4068507719784975,21,0.0,21,21,22.0,0.0,22.0,22.0,21,0.0,21,21,1,0.0,1,1,1.0,0.0,1.0,1.0,123,0.0,123,123,101,0.0,101,101
matrix-mult-1x3.lua,model_v1,sota,3,1,0,13.974865486030467,0.0019470623181764074,13.972686904016882,13.976435804041103,383,0.0,383,383,22.4,0.0,22.4,22.4,21,0.0,21,21,20,0.0,20,20,1.0,0.0,1.0,1.0,1511,0.0,1511,1511,1127,0.0,1127,1127
matrix-mult-1x3.lua,model_v1,top-down-1.2,3,1,0,1.145332641666755,0.01242611671801659,1.1309874739963561,1.1527707439963706,21,0.0,21,21,22.0,0.0,22.0,22.0,21,0.0,21,21,1,0.0,1,1,1.0,0.0,1.0,1.0,112,0.0,112,112,90,0.0,90,90
matrix-mult-1x3.lua,model_v1,top-down-1.4,3,1,0,1.1708454706628497,0.051373652924289054,1.1161066009663045,1.2180137520190328,21,0.0,21,21,22.0,0.0,22.0,22.0,21,0.0,21,21,1,0.0,1,1,1.0,0.0,1.0,1.0,112,0.0,112,112,90,0.0,90,90
matrix-mult-1x3.lua,model_v2,sota,3,1,0,13.673091637009444,0.10347048375574872,13.5536213000305,13.733953723974992,378,0.0,378,378,22.42105263157895,0.0,22.42105263157895,22.42105263157895,21,0.0,21,21,20,0.0,20,20,0.95,0.0,0.95,0.95,1533,0.0,1533,1533,1154,0.0,1154,1154
matrix-mult-1x3.lua,model_v2,top-down-1.2,3,1,0,1.1810264706728049,0.0315759388076913,1.154500522010494,1.2159532500081696,22,0.0,22,22,22.0,0.0,22.0,22.0,21,0.0,21,21,1,0.0,1,1,1.0,0.0,1.0,1.0,115,0.0,115,115,92,0.0,92,92
matrix-mult-1x3.lua,model_v2,top-down-1.4,3,1,0,1.1541974579837795,0.013019586469619586,1.140706550970208,1.1666880139964633,21,0.0,21,21,22.0,0.0,22.0,22.0,21,0.0,21,21,1,0.0,1,1,1.0,0.0,1.0,1.0,114,0.0,114,114,92,0.0,92,92
matrix-mult-1x4.lua,default,sota,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-1x4.lua,default,top-down-1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-1x4.lua,default,top-down-1.4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-1x4.lua,model_v1,sota,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-1x4.lua,model_v1,top-down-1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-1x4.lua,model_v1,top-down-1.4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-1x4.lua,model_v2,sota,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-1x4.lua,model_v2,top-down-1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-1x4.lua,model_v2,top-down-1.4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-2x2.lua,default,sota,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-2x2.lua,default,top-down-1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-2x2.lua,default,top-down-1.4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-2x2.lua,model_v1,sota,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-2x2.lua,model_v1,top-down-1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-2x2.lua,model_v1,top-down-1.4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-2x2.lua,model_v2,sota,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
